Iteration;Execution time (ms);Genetic Algorithm;;;Simulation;;;Chromosome;allied;;conflict;;guardian;;herald;;hero;;journey;;mentor;;monomyth;;shadow;;shapeshifter;;trickster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Best fitness;Population average;Population Std. Dev.;Best Fitness;Trials Std. Dev.;Number of trials;;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;391837;233,6;32,217777;61,541134;233,6;129,76561;15;[9, 11, 9, 4, 124, 0.5661082, 0.11089653, 0.23741639, 0.22286469, 0.47658986, 0.9829002, 0.84650004, 0.6611051, 0.67626214, 0.45226872, 0.58717835, 0.8544508, 0.9062252, 0.1171813, 0.4670059, 0.14171237, 0.10986143, 0.008735836, 0.41914213, 0.5542577, 0.9354534, 0.8074027, 0.4255107, 0.13296807, 0.8352019, 0.5434723, 0.88948977, 0.056265235, 0.76077133, 0.52140355, 0.0993371, 0.932705, 0.7587488, 0.03447652, 0.8034253, 0.22380632, 0.13473028, 0.8723297, 0.52212745, 0.17262006, 0.88469124, 0.8465761, 0.015447736, 0.88062406, 0.78001505, 0.32362676, 0.09246266];39,8;29,990952;102,13333;28,387287;33,466667;41,68396;1;2,56348;7,9333334;5,496319;7,9333334;5,496319;12,733334;10,693567;0;0;7,9333334;5,496319;0;0;20,666666;24,563814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;287942;690,5333;61,864445;140,49757;690,5333;473,55252;15;[9, 10, 9, 16, 122, 0.03813411, 0.25801522, 0.1542958, 0.35048285, 0.068796895, 0.909037, 0.6323588, 0.30721617, 0.7677607, 0.26287335, 0.5939773, 0.49190724, 0.13908647, 0.5864391, 0.2689433, 0.2452428, 0.68553233, 0.14862615, 0.676967, 0.13168353, 0.3163047, 0.5434227, 0.56024337, 0.03503165, 0.5984762, 0.91473234, 0.43763342, 0.4787367, 0.44972944, 0.91520476, 0.76753527, 0.44010112, 0.50467753, 0.76885206, 0.1564214, 0.2545662, 0.18548384, 0.6186049, 0.33200762, 0.42520314, 0.70633185, 0.30949643, 0.12572683, 0.39995998, 0.8865258, 0.24009582, 0.8408031];122,6;99,19735;276,66666;61,113087;152,86667;194,08755;0;0;15,2;13,5815;15,2;13,5815;2,0666666;5,4571924;0;0;15,2;13,5815;0;0;90,73333;107,64722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;328889;690,5333;94,72444;112,29953;690,5333;473,55252;15;[9, 10, 9, 16, 122, 0.03813411, 0.25801522, 0.1542958, 0.35048285, 0.068796895, 0.909037, 0.6323588, 0.30721617, 0.7677607, 0.26287335, 0.5939773, 0.49190724, 0.13908647, 0.5864391, 0.2689433, 0.2452428, 0.68553233, 0.14862615, 0.676967, 0.13168353, 0.3163047, 0.5434227, 0.56024337, 0.03503165, 0.5984762, 0.91473234, 0.43763342, 0.4787367, 0.44972944, 0.91520476, 0.76753527, 0.44010112, 0.50467753, 0.76885206, 0.1564214, 0.2545662, 0.18548384, 0.6186049, 0.33200762, 0.42520314, 0.70633185, 0.30949643, 0.12572683, 0.39995998, 0.8865258, 0.24009582, 0.8408031];122,6;99,19735;276,66666;61,113087;152,86667;194,08755;0;0;15,2;13,5815;15,2;13,5815;2,0666666;5,4571924;0;0;15,2;13,5815;0;0;90,73333;107,64722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;984976;1235,2667;206,89111;223,92538;1235,2667;1774,0997;15;[8, 13, 9, 14, 107, 0.8501374, 0.99056005, 0.73970807, 0.28282332, 0.008390847, 0.45668793, 0.5813873, 0.21604545, 0.23116517, 0.36078858, 0.31690162, 0.76220274, 0.06821523, 0.5551043, 0.5084149, 0.18504076, 0.2678069, 0.36402613, 0.19841549, 0.3207569, 0.14584807, 0.5863247, 0.6383289, 0.7152804, 0.6407039, 0.6538886, 0.23802842, 0.67250216, 0.78252524, 0.72270834, 0.45309603, 0.42148918, 0.73147273, 0.40005374, 0.16428518, 0.15934989, 0.28990555, 0.378603, 0.23175502, 0.44070107, 0.6270149, 0.39588124, 0.9314765, 0.5958672, 0.5246617, 0.12123273, 0.6718769];117,73333;340,36926;671,4;160,16545;245,53334;782,782;4,733333;6,6167173;19,333334;48,08574;19,333334;48,08574;0,4;1,5491933;0;0;19,333334;48,08574;0;0;137,46666;440,75436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1382479;1235,2667;284,1711;236,13686;1235,2667;1774,0997;15;[8, 13, 9, 14, 107, 0.8501374, 0.99056005, 0.73970807, 0.28282332, 0.008390847, 0.45668793, 0.5813873, 0.21604545, 0.23116517, 0.36078858, 0.31690162, 0.76220274, 0.06821523, 0.5551043, 0.5084149, 0.18504076, 0.2678069, 0.36402613, 0.19841549, 0.3207569, 0.14584807, 0.5863247, 0.6383289, 0.7152804, 0.6407039, 0.6538886, 0.23802842, 0.67250216, 0.78252524, 0.72270834, 0.45309603, 0.42148918, 0.73147273, 0.40005374, 0.16428518, 0.15934989, 0.28990555, 0.378603, 0.23175502, 0.44070107, 0.6270149, 0.39588124, 0.9314765, 0.5958672, 0.5246617, 0.12123273, 0.6718769];117,73333;340,36926;671,4;160,16545;245,53334;782,782;4,733333;6,6167173;19,333334;48,08574;19,333334;48,08574;0,4;1,5491933;0;0;19,333334;48,08574;0;0;137,46666;440,75436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1263263;1235,2667;359,07556;224,54768;1235,2667;1774,0997;15;[8, 13, 9, 14, 107, 0.8501374, 0.99056005, 0.73970807, 0.28282332, 0.008390847, 0.45668793, 0.5813873, 0.21604545, 0.23116517, 0.36078858, 0.31690162, 0.76220274, 0.06821523, 0.5551043, 0.5084149, 0.18504076, 0.2678069, 0.36402613, 0.19841549, 0.3207569, 0.14584807, 0.5863247, 0.6383289, 0.7152804, 0.6407039, 0.6538886, 0.23802842, 0.67250216, 0.78252524, 0.72270834, 0.45309603, 0.42148918, 0.73147273, 0.40005374, 0.16428518, 0.15934989, 0.28990555, 0.378603, 0.23175502, 0.44070107, 0.6270149, 0.39588124, 0.9314765, 0.5958672, 0.5246617, 0.12123273, 0.6718769];117,73333;340,36926;671,4;160,16545;245,53334;782,782;4,733333;6,6167173;19,333334;48,08574;19,333334;48,08574;0,4;1,5491933;0;0;19,333334;48,08574;0;0;137,46666;440,75436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1870218;1683,4;512,9;339,08902;1683,4;1006,934;15;[11, 8, 14, 12, 119, 0.02566123, 0.42560703, 0.39622903, 0.55549383, 0.36605695, 0.5923724, 0.81603175, 0.12598647, 0.4412511, 0.3730486, 0.55347186, 0.966839, 0.8278953, 0.9434178, 0.4490583, 0.11571829, 0.5517378, 0.43355805, 0.121384606, 0.32553166, 0.19843279, 0.7235153, 0.8050255, 0.620945, 0.30594015, 0.7629607, 0.56156385, 0.50149715, 0.7043827, 0.4132419, 0.457007, 0.5497682, 0.72243065, 0.45093805, 0.4977511, 0.946844, 0.54893315, 0.6252293, 0.05180989, 0.5086415, 0.48983634, 0.41494083, 0.5785147, 0.39907435, 0.9184816, 0.6255836, 0.12107184];218,66667;176,90137;652,6667;157,8791;492,13333;454,24942;1,8;2,9081168;56,266666;31,608017;56,266666;31,608017;37,733334;26,876614;0;0;56,266666;31,608017;6,9333334;15,484861;104,666664;122,3897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2145317;2106,4;602,6067;475,5011;2106,4;811,0867;15;[8, 8, 13, 14, 111, 0.35934746, 0.39996383, 0.39606702, 0.47074524, 0.3724033, 0.5960801, 0.8381265, 0.12783305, 0.2544009, 0.34381372, 0.6824893, 0.95523554, 0.8330573, 0.95176184, 0.28590173, 0.21108562, 0.4350443, 0.47001088, 0.10399985, 0.23409303, 0.11015623, 0.4796212, 0.7557408, 0.484663, 0.3609316, 0.7702651, 0.54294187, 0.5144732, 0.61460537, 0.47955555, 0.3108421, 0.52896285, 0.6654972, 0.45479614, 0.35899642, 0.659234, 0.48006603, 0.33415028, 0.073392704, 0.43380666, 0.32463807, 0.4578199, 0.8573705, 0.6880114, 0.90475285, 0.8701052, 0.8633881];427,86667;144,56529;664,4667;136,4786;494,26666;329,63626;2,5333333;5,423055;61,466667;20,30435;61,466667;20,30435;49,866665;18,950562;0;0;61,466667;20,30435;32,6;91,43366;250,4;142,31744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1975341;2106,4;621,7022;369,25574;2106,4;811,0867;15;[8, 8, 13, 14, 111, 0.35934746, 0.39996383, 0.39606702, 0.47074524, 0.3724033, 0.5960801, 0.8381265, 0.12783305, 0.2544009, 0.34381372, 0.6824893, 0.95523554, 0.8330573, 0.95176184, 0.28590173, 0.21108562, 0.4350443, 0.47001088, 0.10399985, 0.23409303, 0.11015623, 0.4796212, 0.7557408, 0.484663, 0.3609316, 0.7702651, 0.54294187, 0.5144732, 0.61460537, 0.47955555, 0.3108421, 0.52896285, 0.6654972, 0.45479614, 0.35899642, 0.659234, 0.48006603, 0.33415028, 0.073392704, 0.43380666, 0.32463807, 0.4578199, 0.8573705, 0.6880114, 0.90475285, 0.8701052, 0.8633881];427,86667;144,56529;664,4667;136,4786;494,26666;329,63626;2,5333333;5,423055;61,466667;20,30435;61,466667;20,30435;49,866665;18,950562;0;0;61,466667;20,30435;32,6;91,43366;250,4;142,31744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2308370;2106,4;691,7111;296,1427;2106,4;811,0867;15;[8, 8, 13, 14, 111, 0.35934746, 0.39996383, 0.39606702, 0.47074524, 0.3724033, 0.5960801, 0.8381265, 0.12783305, 0.2544009, 0.34381372, 0.6824893, 0.95523554, 0.8330573, 0.95176184, 0.28590173, 0.21108562, 0.4350443, 0.47001088, 0.10399985, 0.23409303, 0.11015623, 0.4796212, 0.7557408, 0.484663, 0.3609316, 0.7702651, 0.54294187, 0.5144732, 0.61460537, 0.47955555, 0.3108421, 0.52896285, 0.6654972, 0.45479614, 0.35899642, 0.659234, 0.48006603, 0.33415028, 0.073392704, 0.43380666, 0.32463807, 0.4578199, 0.8573705, 0.6880114, 0.90475285, 0.8701052, 0.8633881];427,86667;144,56529;664,4667;136,4786;494,26666;329,63626;2,5333333;5,423055;61,466667;20,30435;61,466667;20,30435;49,866665;18,950562;0;0;61,466667;20,30435;32,6;91,43366;250,4;142,31744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;3063849;2162,6;954,01556;421,12152;2162,6;790,65125;15;[8, 13, 16, 12, 118, 0.7327783, 0.26940846, 0.53419083, 0.32888508, 0.7158151, 0.48349786, 0.72604847, 0.32824433, 0.70974827, 0.25301278, 0.67738366, 0.8706915, 0.53826237, 0.6422, 0.3399359, 0.27310407, 0.3204898, 0.40388346, 0.30922022, 0.43276185, 0.15036993, 0.63422865, 0.6131882, 0.4441651, 0.8742597, 0.81708944, 0.5540205, 0.29796532, 0.7387714, 0.7462096, 0.5839229, 0.530093, 0.27414107, 0.5437241, 0.19309908, 0.1592864, 0.25350767, 0.5600525, 0.059693474, 0.3143948, 0.6742968, 0.41712257, 0.800971, 0.6247176, 0.7417884, 0.42266732, 0.9598784];583,6;206,02837;650,06665;118,785805;368,46667;212,95837;1;1,1952286;58,866665;21,009748;58,866665;21,009748;38,533333;19,430708;0;0;58,866665;21,009748;8,466666;24,686222;335,86667;187,67444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;3680932;2162,6;1022,13556;356,34772;2162,6;790,65125;15;[8, 13, 16, 12, 118, 0.7327783, 0.26940846, 0.53419083, 0.32888508, 0.7158151, 0.48349786, 0.72604847, 0.32824433, 0.70974827, 0.25301278, 0.67738366, 0.8706915, 0.53826237, 0.6422, 0.3399359, 0.27310407, 0.3204898, 0.40388346, 0.30922022, 0.43276185, 0.15036993, 0.63422865, 0.6131882, 0.4441651, 0.8742597, 0.81708944, 0.5540205, 0.29796532, 0.7387714, 0.7462096, 0.5839229, 0.530093, 0.27414107, 0.5437241, 0.19309908, 0.1592864, 0.25350767, 0.5600525, 0.059693474, 0.3143948, 0.6742968, 0.41712257, 0.800971, 0.6247176, 0.7417884, 0.42266732, 0.9598784];583,6;206,02837;650,06665;118,785805;368,46667;212,95837;1;1,1952286;58,866665;21,009748;58,866665;21,009748;38,533333;19,430708;0;0;58,866665;21,009748;8,466666;24,686222;335,86667;187,67444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4206845;2162,6;1112,7134;374,01257;2162,6;790,65125;15;[8, 13, 16, 12, 118, 0.7327783, 0.26940846, 0.53419083, 0.32888508, 0.7158151, 0.48349786, 0.72604847, 0.32824433, 0.70974827, 0.25301278, 0.67738366, 0.8706915, 0.53826237, 0.6422, 0.3399359, 0.27310407, 0.3204898, 0.40388346, 0.30922022, 0.43276185, 0.15036993, 0.63422865, 0.6131882, 0.4441651, 0.8742597, 0.81708944, 0.5540205, 0.29796532, 0.7387714, 0.7462096, 0.5839229, 0.530093, 0.27414107, 0.5437241, 0.19309908, 0.1592864, 0.25350767, 0.5600525, 0.059693474, 0.3143948, 0.6742968, 0.41712257, 0.800971, 0.6247176, 0.7417884, 0.42266732, 0.9598784];583,6;206,02837;650,06665;118,785805;368,46667;212,95837;1;1,1952286;58,866665;21,009748;58,866665;21,009748;38,533333;19,430708;0;0;58,866665;21,009748;8,466666;24,686222;335,86667;187,67444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;5120002;2501,8;1286,0289;557,3227;2501,8;822,764;15;[15, 14, 15, 16, 122, 0.5519501, 0.07038333, 0.38265425, 0.26845953, 0.3974585, 0.7086877, 0.91459966, 0.44562358, 0.5457672, 0.16298583, 0.31840044, 0.89809686, 0.5246002, 0.76570284, 0.38339886, 0.22291762, 0.41739345, 0.3991969, 0.28933793, 0.53420246, 0.20260373, 0.6299104, 0.47669524, 0.37864965, 0.54256046, 0.8357244, 0.56884414, 0.53859776, 0.81882644, 0.49404806, 0.56320655, 0.5297705, 0.13848951, 0.25775224, 0.18161072, 0.5027374, 0.2532101, 0.5018358, 0.28138012, 0.4562133, 0.60519445, 0.5001615, 0.83932436, 0.41378504, 0.21477994, 0.19353642, 0.8327484];672,06665;221,2111;808,13336;144,30566;649,6667;407,66525;1,0666667;2,2509258;78,6;19,223497;78,6;19,223497;47,666668;19,04756;0;0;78,6;19,223497;10,333333;15,328156;77,066666;40,469505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
